Action	Utilisateur	Nom	Condition	Exceptions
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_WCF-SERVICEMODELREG_B03F5F7F11D50A3A_10.0.10240.16384_NONE_3AA7C5F1D3BEE987\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_WCF-M_SM_CFG_INS_EXE_31BF3856AD364E35_10.0.10240.16384_NONE_0821CDBEB7D3350F\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_WCF-COMSVCCONFIG_B03F5F7F11D50A3A_10.0.10240.16384_NONE_4C86BD2C2C2673F2\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_VMCONNECT_31BF3856AD364E35_10.0.10240.16384_NONE_98369E17E4CB9916\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_VMCONNECT6.3_31BF3856AD364E35_10.0.10240.16384_NONE_AE5A3B85B7143CBB\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_VMCONNECT6.2_31BF3856AD364E35_10.0.10240.16384_NONE_AE5A524DB714231A\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MULTIPOINT-WMSUSERAGENT_31BF3856AD364E35_10.0.10240.16384_NONE_68DBFC48F21EF53A\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MULTIPOINT-WMSSVC_31BF3856AD364E35_10.0.10240.16384_NONE_C8C465DC2CA59A94\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MULTIPOINT-WMSSESSIONAGENT_31BF3856AD364E35_10.0.10240.16384_NONE_A91C9E130BFBD38D\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MULTIPOINT-WMSSELFHEALINGSVC_31BF3856AD364E35_10.0.10240.16384_NONE_83E8F5539EFDF56E\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MULTIPOINT-LOGCOLLECTOR_31BF3856AD364E35_10.0.10240.16384_NONE_A822F14B35CF88F8\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-WMI-SNMP-PROVIDER_31BF3856AD364E35_10.0.10240.16384_NONE_B2BBF038616D091A\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-TELNET-CLIENT_31BF3856AD364E35_10.0.10240.16384_NONE_C0320313BFB7B52A\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-T..LISHING-WMIPROVIDER_31BF3856AD364E35_10.0.10240.16384_NONE_3D38CA472E366A63\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-T..LICATIONS-CLIENTSKU_31BF3856AD364E35_10.0.10240.16384_NONE_26DB9207E0D0DD8D\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-T..-DEPLOYMENT-PACKAGE_31BF3856AD364E35_10.0.10240.16384_NONE_66CE11601E3CC3DB\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-SNMP-EVNTWIN_31BF3856AD364E35_10.0.10240.16384_NONE_BED135BFA029731A\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-SNMP-EVNTCMD_31BF3856AD364E35_10.0.10240.16384_NONE_C105394F9EB26D38\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-SNMP-AGENT-SERVICE_31BF3856AD364E35_10.0.10240.16384_NONE_FF355315F2F02370\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-RASCMAK_31BF3856AD364E35_10.0.10240.16384_NONE_188CD2401362299A\*	Chemin d’accès	
Autoriser	Tout le monde	C:: GESTIONNAIRE DES CONNEXIONS MICROSOFT(R) signé par O=MICROSOFT CORPORATION, L=REDMOND, S=WASHINGTON, C=US	Éditeur	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-R..S-REGKEYS-COMPONENT_31BF3856AD364E35_10.0.10240.16384_NONE_028E81709ACF3BA4\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-R..PDATE-OOB-COMPONENT_31BF3856AD364E35_10.0.10240.16384_NONE_F597005A3F0F4851\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-PROCESSMODEL-CPT_31BF3856AD364E35_10.0.10240.16384_NONE_B2D2FC2A0E3E11DA\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-PACKAGEINSPECTOR_31BF3856AD364E35_10.0.10240.16384_NONE_7282797D59DCDB5D\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-P..TING-LPRPORTMONITOR_31BF3856AD364E35_10.0.10240.16384_NONE_BC04132FD87BE3A9\*	Chemin d’accès	
Autoriser	Tout le monde	C:: %WINDIR%\WINSXS\AMD64_MICROSOFT-WINDOWS-P..SPACES-CREATOR-TOOL_31BF3856AD364E35_10.0.10240.16384_NONE_7753DC5BB263A3E9\*	Chemin d’accès	
